Model,MAE,MSE,R2
LinearRegression,82657.94605892441,10549721686.160313,0.9146454505137985
RobustRegression,199465.5595542929,61664910393.24937,0.5010881990728187
RidgeRegression,82659.67244409773,10549745186.670168,0.9146452603784101
LassoRegression,82657.94662172231,10549717660.356379,0.9146454830853384
ElasticNet,99126.80843102589,15081376466.559586,0.8779812271613102
PolynomialRegression,82894.44754893737,10604968576.361347,0.9141984649378844
SGDRegressor,5.343930759165882e+17,2.9454018622721748e+35,-2.383033946192767e+24
ANN,199336.50410824924,61469094968.281685,0.5026724813769189
RandomForest,98278.12204873211,14927779951.63309,0.8792239292651393
SVM,282947.68758691323,123546565157.52672,0.0004227861838135283
LGBM,92133.9888284538,13097708114.507051,0.8940304769478327
XGBoost,101983.57200915221,16247994368.568047,0.8685424809639486
KNN,198086.23684543537,60395811313.31432,0.5113560889227768
